,scheme_code,scheme_name,div_growth,div_reinvest,nav,nav_date
58,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,50.701,25 Feb 2020
59,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,56.898,4 Feb 2020
60,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,56.937,24 Feb 2020
61,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,56.938,6 Jan 2020
62,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.032,8 Jan 2020
63,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.099,18 Feb 2020
64,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.135,31 Jan 2020
65,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.168,7 Jan 2020
66,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.215,17 Feb 2020
67,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.431000000000004,30 Jan 2020
70,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.523999999999994,14 Feb 2020
71,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.61600000000001,28 Jan 2020
72,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.623999999999995,22 Jan 2020
73,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.79,11 Feb 2020
74,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.836000000000006,19 Feb 2020
75,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.851000000000006,6 Feb 2020
76,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.857,7 Feb 2020
77,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.88,29 Jan 2020
78,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.89,21 Jan 2020
79,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.903,9 Jan 2020
80,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.93899999999999,20 Feb 2020
81,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.943000000000005,27 Jan 2020
82,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,57.993,13 Feb 2020
83,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,58.056999999999995,3 Jan 2020
84,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,58.06399999999999,12 Feb 2020
85,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,58.144,23 Jan 2020
87,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,58.191,20 Jan 2020
88,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,58.285,2 Jan 2020
89,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,58.486000000000004,13 Jan 2020
90,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,58.49,24 Jan 2020
92,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,58.681999999999995,14 Jan 2020
93,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,58.755,17 Jan 2020
94,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,58.773999999999994,16 Jan 2020
